Date,HomeTeam,AwayTeam,FTHG,FTAG,HC,AC,HY,AY,HS,AS,H_av_goals,H_conceded,A_av_goals,A_conceded,H attack,A attack,H def,A def,lambda h,lambda a,P(0 0),P(0 1),P(1 0),P(1 1),h win,h draw,a win,A D,h p,a p,gd,h win rt,a win rt,gpg,P(h),P(d),P(A),exp_home_corners,exp_away_corners,exp_home_yellows,exp_away_yellows
2020-09-11,Rizespor,Fenerbahce,1,2,3.0,11.0,1.0,2.0,9.0,17.0,1.4736842105263157,1.3289473684210529,2.1595744680851063,0.925531914893617,0.9230333899264288,1.724698718299331,1.0613358589275246,0.5797014413177762,0.8542968608893545,2.292033823003058,0.05564208768570167,0.08594714700219094,0.024110578153552536,0.09684866057604026,0,0,1,0,0,3,-1,46.05263157894737,68.08510638297872,1.2960526315789471,0.11153024630075743,0.20387388999927153,0.6844558127899238,3.8151535118804643,5.917539216944027,3.091633007665664,2.1876780069093433
2020-09-12,Sivasspor,Alanyaspor,0,2,7.0,6.0,4.0,2.0,10.0,12.0,1.3085106382978724,1.053191489361702,1.1382978723404256,1.5638297872340423,0.8195778997940975,0.909077649546938,0.8411092271509052,0.9794955387783116,1.2816803326567268,0.9574328436717752,0.126165991193838,0.0824042648150371,0.1169537932989713,0.1503666018047824,0,0,1,0,0,3,-2,35.1063829787234,28.72340425531916,1.2925531914893618,0.4193370744255182,0.32255528066350025,0.25810653576437,4.733163909307522,4.615356814430795,2.003247510108278,2.352632694557187
2020-09-12,Karagumruk,Yeni Malatyaspor,3,0,8.0,6.0,4.0,3.0,7.0,20.0,1.9078947368421053,1.1578947368421053,0.7692307692307693,1.5128205128205128,1.1949985851726088,0.6143299716564499,0.924728273124972,0.9475461814171492,1.8078183724406127,0.711329440865363,0.09606154243183225,0.041748741463097365,0.13004702427159234,0.11908893886491814,1,0,0,0,3,0,3,48.68421052631579,12.82051282051282,1.5460526315789471,0.6204907022942658,0.25360201510100955,0.12588717209043257,5.054256010396361,3.6848133030197787,1.8985665009770882,1.4020955284292504
2020-09-12,Goztep,Denizlispor,5,1,4.0,6.0,0.0,3.0,10.0,8.0,1.5614035087719298,1.350877192982456,1.05,2.5,0.977975853612526,0.8385604113110541,1.0788496519791335,1.5658602150537633,2.4449396340313148,1.1327921345780905,0.039546011258581294,0.020042065100653945,0.056702152187605624,0.08898709741877296,1,0,0,0,3,0,4,38.59649122807017,10.0,1.3859649122807018,0.6500414122867711,0.20179506633712813,0.14793006147071955,6.119185086067334,4.152944105564546,1.3923334688577913,2.2539483290850635
2020-09-12,Galatasaray,Gaziantep,3,1,8.0,6.0,2.0,3.0,23.0,9.0,2.276595744680851,0.9042553191489362,1.0425531914893618,1.797872340425532,1.425932280942576,0.8326131743514013,0.7221644879578479,1.1260867078471746,2.563644207226546,0.7528948917007352,0.04678154152089297,0.016810277167588226,0.08250094847274923,0.08052584913497636,1,0,0,0,3,0,2,74.46808510638297,18.08510638297873,2.1117021276595747,0.7535910581901247,0.16928770757025585,0.07678420984127123,7.522518445803028,3.6514696251131236,2.089043636042101,3.21423111701729
2020-09-13,Ankaragucu,Erzurum BB,1,2,6.0,3.0,3.0,0.0,8.0,12.0,1.2456140350877194,1.2456140350877194,1.3,1.9,0.7801829843425769,1.0382176520994002,0.9947834453314092,1.19005376344086,1.4823476702508962,1.293218478930832,0.08023262659782998,0.06266741984839803,0.07445285175219785,0.13737469917611306,0,0,1,0,0,3,-1,35.08771929824561,40.0,1.1842105263157894,0.39867397295529744,0.28863008112919225,0.3126911282344196,4.914189271043271,4.20418536694032,1.8727385995514578,2.281731372724827
2020-09-13,Kayserispor,Kasimpasa,1,0,1.0,6.0,3.0,2.0,6.0,12.0,1.4148936170212767,1.25531914893617,1.351063829787234,1.5957446808510638,0.8862102493708534,1.0789987055370198,1.002534230341483,0.9994852436513384,1.414165291549234,1.354487736737961,0.0807748071371731,0.0669609765484511,0.07070553218614588,0.1382172854218896,1,0,0,0,3,0,1,40.42553191489361,29.78723404255319,1.2393617021276595,0.3684057548157601,0.29038102187200726,0.34120908495950153,4.885594320876134,4.549860070547001,2.065374489431088,2.42066964147049
2020-09-13,Antalyaspor,Genclerbirligi,2,0,2.0,3.0,1.0,1.0,9.0,6.0,1.425531914893617,1.202127659574468,0.85,2.05,0.8928734843285289,0.6788346186803771,0.9600539663439626,1.284005376344086,1.830390642873484,0.8160458713923683,0.08678951034118895,0.041974365099952345,0.11389488531744422,0.12179330743014775,1,0,0,0,3,0,2,44.680851063829785,20.0,1.180851063829787,0.5981765001553833,0.255345249526969,0.14645592635901916,5.682977610378741,3.582239391542146,1.5697016952967373,2.383005047927837
2020-09-13,Trabzonspor,Besiktas,1,3,4.0,3.0,3.0,2.0,8.0,12.0,1.925531914893617,1.074468085106383,1.5851063829787233,1.25531914893617,1.2060455273392816,1.2659118671261098,0.8581013327499135,0.7862617250057194,1.5139720449578216,1.3601818997844373,0.07390511279666188,0.059359940432077214,0.0680435304064171,0.1337160347517101,0,0,1,0,0,3,-2,60.63829787234043,41.48936170212766,1.648936170212766,0.3928886436274634,0.2830949634395046,0.32401020708513667,4.819806734249575,4.789482745377444,1.967979068028906,2.325181361101474
2020-09-14,Hatayspor,Buyuksehyr,2,0,1.0,6.0,1.0,2.0,12.0,15.0,1.4574468085106382,1.4680851063829787,1.2659574468085106,1.3297872340425532,0.9128631892015556,1.0110302831409872,1.172455286331565,0.8329043697094486,1.2139138154276006,1.4842785007814494,0.08552346706706482,0.08173582215858087,0.06353294953790838,0.13950541241170394,1,0,0,0,3,0,2,37.234042553191486,37.234042553191486,1.2180851063829787,0.2918991100184617,0.2919369293009144,0.4161595820126714,4.059166922144849,5.182740381970881,2.404742725676436,2.002677050377221
2020-09-18,Yeni Malatyaspor,Goztep,1,1,5.0,6.0,0.0,0.0,14.0,3.0,1.1794871794871795,1.6666666666666667,1.2105263157894737,1.912280701754386,0.7387648194099807,0.9667613764488342,1.331048271922308,1.1977457083569136,1.41272570729277,1.611268960748057,0.06520302650988531,0.0617220426829141,0.0520715177613615,0.1272387903872198,0,1,0,1,1,1,0,25.64102564102564,19.29824561403509,0.9743589743589745,0.3196494663429786,0.2738153426039308,0.4065251730738555,4.596425149502759,5.17647598393469,1.4658412790011413,1.5893225397394677
2020-09-19,Denizlispor,Trabzonspor,0,0,7.0,7.0,3.0,0.0,9.0,13.0,0.85,1.35,1.372340425531915,1.2872340425531914,0.5323924731182795,1.095990811136028,1.0781491002570696,0.8062514298787462,0.6853137153969343,1.479587595033638,0.13221613188841794,0.15234446424691236,0.06119259321124687,0.13382068618182272,0,1,0,1,1,1,0,20.0,38.297872340425535,0.95,0.15506131021622976,0.2990778276695082,0.5458572198139003,4.425034798984687,4.419819873456773,2.526111875534946,1.8687457013766173
2020-09-19,Alanyaspor,Kayserispor,2,0,5.0,1.0,1.0,3.0,18.0,10.0,1.7872340425531914,1.3404255319148937,1.0638297872340423,1.8085106382978724,1.119423472889499,0.8496052799504094,1.070502652737516,1.1327499428048502,2.024489259481009,1.1388326092952297,0.05690861181719254,0.033532015233558025,0.07098204402326443,0.11211403406170785,1,0,0,0,3,0,2,46.80851063829788,21.27659574468085,1.4627659574468086,0.5636798919382363,0.24188841020289897,0.19437995767305932,6.011059811406084,3.4927617127735187,1.752136202503155,2.1520894338941265
