Date,HomeTeam,AwayTeam,FTHG,FTAG,HC,AC,HY,AY,HS,AS,H_av_goals,H_conceded,A_av_goals,A_conceded,H attack,A attack,H def,A def,lambda h,lambda a,P(0 0),P(0 1),P(1 0),P(1 1),h win,h draw,a win,A D,h p,a p,gd,h win rt,a win rt,gpg
2020-09-11,Rizespor,Fenerbahce,1,2,3.0,11.0,1.0,2.0,9.0,17.0,1.4736842105263157,1.3289473684210529,2.1595744680851063,0.925531914893617,0.9230333899264288,1.724698718299331,1.0613358589275246,0.5797014413177762,0.8542968608893545,2.292033823003058,0.0430096536975225,0.0985795809903701,0.0367430121417317,0.0842162265878611,0,0,1,0,0,3,-1,46.05263157894737,68.08510638297872,1.2960526315789473
2020-09-12,Sivasspor,Alanyaspor,0,2,7.0,6.0,4.0,2.0,10.0,12.0,1.3085106382978724,1.053191489361702,1.1382978723404256,1.5638297872340423,0.8195778997940975,0.909077649546938,0.8411092271509052,0.9794955387783116,1.2816803326567268,0.9574328436717752,0.1065529561758229,0.1020172998330522,0.1365668283169864,0.1307535667867673,0,0,1,0,0,3,-2,35.1063829787234,28.723404255319153,1.2925531914893618
2020-09-12,Karagumruk,Yeni Malatyaspor,3,0,8.0,6.0,4.0,3.0,7.0,20.0,1.9078947368421053,1.1578947368421053,0.7692307692307693,1.5128205128205128,1.1949985851726088,0.6143299716564499,0.924728273124972,0.9475461814171492,1.8078183724406127,0.711329440865363,0.0805282025798864,0.0572820813150432,0.1455803641235382,0.1035555990129723,1,0,0,0,3,0,3,48.68421052631579,12.82051282051282,1.5460526315789473
2020-09-12,Goztep,Denizlispor,5,1,4.0,6.0,0.0,3.0,10.0,8.0,1.5614035087719298,1.350877192982456,1.05,2.5,0.977975853612526,0.8385604113110541,1.0788496519791335,1.5658602150537633,2.4449396340313148,1.1327921345780905,0.0279389985517848,0.0316490778074504,0.0683091648944021,0.0773800847119765,1,0,0,0,3,0,4,38.59649122807017,10.0,1.3859649122807018
2020-09-12,Galatasaray,Gaziantep,3,1,8.0,6.0,2.0,3.0,23.0,9.0,2.276595744680851,0.9042553191489362,1.0425531914893618,1.797872340425532,1.425932280942576,0.8326131743514013,0.7221644879578479,1.1260867078471746,2.563644207226546,0.7528948917007352,0.0362781698945917,0.0273136487938895,0.0930043200990505,0.0700224775086751,1,0,0,0,3,0,2,74.46808510638297,18.085106382978726,2.1117021276595747
2020-09-13,Ankaragucu,Erzurum BB,1,2,6.0,3.0,3.0,0.0,8.0,12.0,1.2456140350877194,1.2456140350877194,1.3,1.9,0.7801829843425769,1.0382176520994002,0.9947834453314092,1.19005376344086,1.4823476702508962,1.293218478930832,0.0623141875748587,0.0805858588713693,0.0923712907751691,0.1194562601531418,0,0,1,0,0,3,-1,35.08771929824561,40.0,1.1842105263157894
2020-09-13,Kayserispor,Kasimpasa,1,0,1.0,6.0,3.0,2.0,6.0,12.0,1.4148936170212767,1.25531914893617,1.351063829787234,1.5957446808510638,0.8862102493708534,1.0789987055370198,1.002534230341483,0.9994852436513384,1.414165291549234,1.354487736737961,0.0627464655604049,0.0849893181252193,0.0887338737629141,0.1201889438451214,1,0,0,0,3,0,1,40.42553191489361,29.78723404255319,1.2393617021276595
2020-09-13,Antalyaspor,Genclerbirligi,2,0,2.0,3.0,1.0,1.0,9.0,6.0,1.425531914893617,1.202127659574468,0.85,2.05,0.8928734843285289,0.6788346186803771,0.9600539663439626,1.284005376344086,1.830390642873484,0.8160458713923683,0.0709034267633436,0.0578604486777977,0.1297809688952896,0.1059072238523024,1,0,0,0,3,0,2,44.680851063829785,20.0,1.1808510638297873
2020-09-13,Trabzonspor,Besiktas,1,3,4.0,3.0,3.0,2.0,8.0,12.0,1.925531914893617,1.074468085106383,1.5851063829787233,1.25531914893617,1.2060455273392816,1.2659118671261098,0.8581013327499135,0.7862617250057194,1.5139720449578216,1.3601818997844373,0.0564638908725258,0.0768011623562133,0.0854847523305532,0.116274812827574,0,0,1,0,0,3,-2,60.63829787234043,41.48936170212766,1.648936170212766
2020-09-14,Hatayspor,Buyuksehyr,2,0,1.0,6.0,1.0,2.0,12.0,15.0,1.4574468085106382,1.4680851063829787,1.2659574468085106,1.3297872340425532,0.9128631892015556,1.0110302831409872,1.172455286331565,0.8329043697094486,1.2139138154276006,1.4842785007814494,0.0673271089264078,0.0999321802992379,0.0817293076785654,0.1213090542710469,1,0,0,0,3,0,2,37.234042553191486,37.234042553191486,1.2180851063829787
2020-09-18,Yeni Malatyaspor,Goztep,1,1,5.0,6.0,0.0,0.0,14.0,3.0,1.1794871794871795,1.6666666666666667,1.2105263157894737,1.912280701754386,0.7387648194099807,0.9667613764488342,1.331048271922308,1.1977457083569136,1.41272570729277,1.611268960748057,0.0486066625463349,0.0783184066464645,0.0686678817249119,0.1106424264236694,0,1,0,1,1,1,0,25.64102564102564,19.298245614035086,0.9743589743589743
2020-09-19,Denizlispor,Trabzonspor,0,0,7.0,7.0,3.0,0.0,9.0,13.0,0.85,1.35,1.372340425531915,1.2872340425531914,0.5323924731182795,1.095990811136028,1.0781491002570696,0.8062514298787462,0.6853137153969343,1.479587595033638,0.1147612597777454,0.1697993363575849,0.0786474653219194,0.1163658140711502,0,1,0,1,1,1,0,20.0,38.297872340425535,0.95
2020-09-19,Alanyaspor,Kayserispor,2,0,5.0,1.0,1.0,3.0,18.0,10.0,1.7872340425531914,1.3404255319148937,1.0638297872340423,1.8085106382978724,1.119423472889499,0.8496052799504094,1.070502652737516,1.1327499428048502,2.024489259481009,1.1388326092952297,0.0422850421569698,0.0481555848937808,0.0856056136834872,0.0974904644014851,1,0,0,0,3,0,2,46.808510638297875,21.27659574468085,1.4627659574468086
2020-09-19,Besiktas,Antalyaspor,1,1,5.0,3.0,5.0,4.0,12.0,8.0,1.9680851063829787,0.9893617021276596,0.9361702127659576,1.648936170212766,1.232698467169984,0.7476526463563602,0.7901329103538808,1.0328014184397163,2.03264108948242,0.7396988947993777,0.0625155480559896,0.0462426818047929,0.1270716717101174,0.0939947751242831,0,1,0,1,1,1,0,61.702127659574465,19.148936170212767,1.7765957446808511
2020-09-19,Genclerbirligi,Konyaspor,0,0,6.0,1.0,0.0,3.0,12.0,10.0,1.35,1.75,1.2659574468085106,1.5212765957446808,0.8455645161290323,1.0110302831409872,1.397600685518423,0.9528425989476093,1.2863375085792723,1.7693029954967276,0.0470925481394803,0.0833209864887564,0.0605769110463886,0.1071789101723141,0,1,0,1,1,1,0,30.0,27.659574468085108,1.1
2020-09-20,Erzurum BB,Sivasspor,1,2,2.0,7.0,0.0,0.0,7.0,9.0,0.9,1.5,1.2765957446808511,1.7234042553191489,0.5637096774193548,1.0195263359404914,1.1979434447300772,1.0794440631434454,0.9714996568291008,1.5292895039107368,0.0820202459191618,0.1254327011923517,0.0796826407635042,0.1218578261635168,0,0,1,0,0,3,-1,10.0,32.97872340425532,1.1
2020-09-20,Kasimpasa,Rizespor,2,0,5.0,8.0,3.0,1.0,16.0,11.0,1.6595744680851063,1.627659574468085,1.118421052631579,2.039473684210526,1.039464653397392,0.8932034456320751,1.2998960783241262,1.2774122807017545,2.1199608062709965,1.4538311402309303,0.0280492903583245,0.0407789317843114,0.0594633962033629,0.0864497371043387,1,0,0,0,3,0,2,40.42553191489361,21.052631578947366,1.5053191489361701
2020-09-20,Buyuksehyr,Galatasaray,0,2,5.0,2.0,3.0,1.0,12.0,12.0,1.6063829787234043,1.0851063829787233,1.946808510638298,0.9361702127659576,1.006148478609014,1.554777662309249,0.8665973855494175,0.5863646762754519,0.9419262352935452,1.687099165484504,0.0721487440947414,0.1217220859529932,0.0679587949063171,0.1146532261737802,0,0,1,0,0,3,-2,51.06382978723404,64.8936170212766,1.4361702127659575
2020-09-20,Gaziantep,Karagumruk,2,2,7.0,7.0,2.0,2.0,14.0,11.0,1.4361702127659577,1.24468085106383,1.1842105263157894,1.7236842105263157,0.8995367192862045,0.9457448247869028,0.994038177541979,1.0796194114318052,1.5505172398222735,1.177150473404975,0.0653715772749027,0.0769521831363816,0.1013597575591106,0.1193156865949205,0,1,0,1,1,1,0,42.5531914893617,23.684210526315788,1.2393617021276595
2020-09-21,Fenerbahce,Hatayspor,0,0,3.0,1.0,1.0,6.0,12.0,0.0,2.3191489361702127,1.1063829787234043,0.9787234042553192,1.9574468085106385,1.4525852207732783,0.7816368575543766,0.8835894911484258,1.2260352322123085,2.8433583044923747,0.8647897147410125,0.0245228971767971,0.0212071492541456,0.0697273833378588,0.0602995239463841,0,1,0,1,1,1,0,68.08510638297872,19.148936170212767,2.2393617021276597
2020-09-25,Karagumruk,Buyuksehyr,2,0,2.0,2.0,2.0,3.0,5.0,13.0,1.9078947368421053,1.1578947368421053,1.2659574468085106,1.3297872340425532,1.1949985851726088,1.0110302831409872,0.924728273124972,0.8329043697094486,1.589093863261448,1.1706666436369326,0.0633069281168083,0.0741113090574685,0.1006006509723537,0.1177698264214958,1,0,0,0,3,0,2,48.68421052631579,37.234042553191486,1.5460526315789473
2020-09-26,Goztep,Gaziantep,2,2,2.0,4.0,3.0,1.0,13.0,9.0,1.5614035087719298,1.350877192982456,1.0425531914893618,1.797872340425532,0.977975853612526,0.8326131743514013,1.0788496519791335,1.1260867078471746,1.7582757368140096,1.124758147808033,0.0559647145243188,0.0629467686509781,0.0984013996658323,0.1106777760298596,0,1,0,1,1,1,0,38.59649122807017,18.085106382978726,1.3859649122807018
2020-09-26,Hatayspor,Kasimpasa,1,0,6.0,3.0,2.0,3.0,11.0,6.0,1.4574468085106382,1.4680851063829787,1.351063829787234,1.5957446808510638,0.9128631892015556,1.0789987055370198,1.172455286331565,0.9994852436513384,1.4566965785131207,1.584061929405412,0.0477986201087818,0.0757159743924332,0.0696280863701109,0.1102952008362445,1,0,0,0,3,0,1,37.234042553191486,29.78723404255319,1.2180851063829787
