Date,HomeTeam,AwayTeam,FTHG,FTAG,HC,AC,HY,AY,HS,AS,H_av_goals,H_conceded,A_av_goals,A_conceded,H attack,A attack,H def,A def,lambda h,lambda a,P(0 0),P(0 1),P(1 0),P(1 1)
2020-09-11,Rizespor,Fenerbahce,1,2,3.0,11.0,1.0,2.0,9.0,17.0,1.4736842105263157,1.3289473684210527,2.1595744680851063,0.925531914893617,0.9230333899264289,1.724698718299331,1.0613358589275246,0.5797014413177762,0.8542968608893545,2.292033823003058,0.04300965369752252,0.09857958099037016,0.03674301214173171,0.08421622658786111
2020-09-12,Sivasspor,Alanyaspor,0,2,7.0,6.0,4.0,2.0,10.0,12.0,1.3085106382978724,1.053191489361702,1.1382978723404256,1.5638297872340425,0.8195778997940975,0.909077649546938,0.8411092271509052,0.9794955387783115,1.2816803326567268,0.9574328436717751,0.10655295617582296,0.1020172998330522,0.1365668283169864,0.13075356678676736
2020-09-12,Karagumruk,Yeni Malatyaspor,3,0,8.0,6.0,4.0,3.0,7.0,20.0,1.9078947368421053,1.1578947368421053,0.7692307692307693,1.5128205128205128,1.1949985851726088,0.6143299716564499,0.9247282731249719,0.9475461814171491,1.8078183724406132,0.711329440865363,0.08052820257988641,0.05728208131504328,0.14558036412353823,0.10355559901297239
2020-09-12,Goztep,Denizlispor,5,1,4.0,6.0,0.0,3.0,10.0,8.0,1.5614035087719298,1.3508771929824561,1.05,2.5,0.9779758536125259,0.8385604113110541,1.0788496519791337,1.5658602150537633,2.4449396340313148,1.1327921345780905,0.02793899855178481,0.031649077807450486,0.06830916489440217,0.07738008471197659
2020-09-12,Galatasaray,Gaziantep,3,1,8.0,6.0,2.0,3.0,23.0,9.0,2.276595744680851,0.9042553191489362,1.0425531914893618,1.797872340425532,1.425932280942576,0.8326131743514013,0.7221644879578479,1.1260867078471746,2.5636442072265466,0.7528948917007352,0.03627816989459171,0.0273136487938895,0.09300432009905055,0.07002247750867517
2020-09-13,Ankaragucu,Erzurum BB,1,2,6.0,3.0,3.0,0.0,8.0,12.0,1.2456140350877194,1.2456140350877194,1.3,1.9,0.7801829843425769,1.0382176520994002,0.9947834453314092,1.1900537634408601,1.4823476702508962,1.293218478930832,0.0623141875748587,0.08058585887136933,0.09237129077516915,0.11945626015314187
2020-09-13,Kayserispor,Kasimpasa,1,0,1.0,6.0,3.0,2.0,6.0,12.0,1.4148936170212767,1.2553191489361701,1.351063829787234,1.5957446808510638,0.8862102493708534,1.0789987055370198,1.002534230341483,0.9994852436513383,1.414165291549234,1.354487736737961,0.06274646556040499,0.08498931812521938,0.0887338737629141,0.12018894384512148
2020-09-13,Antalyaspor,Genclerbirligi,2,0,2.0,3.0,1.0,1.0,9.0,6.0,1.425531914893617,1.202127659574468,0.85,2.05,0.8928734843285289,0.6788346186803771,0.9600539663439626,1.284005376344086,1.830390642873484,0.8160458713923683,0.07090342676334369,0.05786044867779778,0.12978096889528962,0.10590722385230249
2020-09-13,Trabzonspor,Besiktas,1,3,4.0,3.0,3.0,2.0,8.0,12.0,1.925531914893617,1.074468085106383,1.5851063829787233,1.2553191489361701,1.2060455273392816,1.2659118671261098,0.8581013327499135,0.7862617250057194,1.5139720449578216,1.3601818997844373,0.05646389087252587,0.07680116235621338,0.08548475233055326,0.11627481282757403
2020-09-14,Hatayspor,Buyuksehyr,2,0,1.0,6.0,1.0,2.0,12.0,15.0,1.4574468085106382,1.4680851063829787,1.2659574468085106,1.3297872340425532,0.9128631892015556,1.0110302831409872,1.172455286331565,0.8329043697094486,1.2139138154276006,1.4842785007814494,0.06732710892640786,0.09993218029923799,0.08172930767856544,0.1213090542710469
2020-09-18,Yeni Malatyaspor,Goztep,1,1,5.0,6.0,0.0,0.0,14.0,3.0,1.1794871794871795,1.6666666666666667,1.2105263157894737,1.912280701754386,0.7387648194099807,0.9667613764488342,1.331048271922308,1.1977457083569136,1.41272570729277,1.611268960748057,0.0486066625463349,0.07831840664646456,0.06866788172491196,0.1106424264236694
2020-09-19,Denizlispor,Trabzonspor,0,0,7.0,7.0,3.0,0.0,9.0,13.0,0.85,1.35,1.372340425531915,1.2872340425531914,0.5323924731182795,1.0959908111360281,1.0781491002570696,0.8062514298787462,0.6853137153969343,1.4795875950336381,0.1147612597777454,0.1697993363575849,0.07864746532191946,0.11636581407115026
2020-09-19,Alanyaspor,Kayserispor,2,0,5.0,1.0,1.0,3.0,18.0,10.0,1.7872340425531914,1.3404255319148937,1.0638297872340425,1.8085106382978724,1.119423472889499,0.8496052799504094,1.0705026527375159,1.1327499428048502,2.024489259481009,1.1388326092952297,0.042285042156969876,0.0481555848937808,0.08560561368348722,0.09749046440148519
