Date,HomeTeam,AwayTeam,FTHG,FTAG,HC,AC,HY,AY,HS,AS,H_av_goals,H_conceded,A_av_goals,A_conceded,H attack,A attack,H def,A def,lambda h,lambda a,P(0 0),P(0 1),P(1 0),P(1 1),h win,h draw,a win,A D,h p,a p,gd,h win rt,a win rt,gpg,P(h),P(d),P(A)
2020-09-11,Rizespor,Fenerbahce,1,2,3.0,11.0,1.0,2.0,9.0,17.0,1.4736842105263157,1.3289473684210529,2.1595744680851063,0.925531914893617,0.9230333899264288,1.724698718299331,1.0613358589275246,0.5797014413177762,0.8542968608893545,2.292033823003058,0.0430096536975225,0.0985795809903701,0.0367430121417317,0.0842162265878611,0,0,1,0,0,3,-1,46.05263157894737,68.08510638297872,1.2960526315789471,0.1241626802889366,0.1786090220229132,0.697088246778103
2020-09-12,Sivasspor,Alanyaspor,0,2,7.0,6.0,4.0,2.0,10.0,12.0,1.3085106382978724,1.053191489361702,1.1382978723404256,1.5638297872340423,0.8195778997940975,0.909077649546938,0.8411092271509052,0.9794955387783116,1.2816803326567268,0.9574328436717752,0.1065529561758229,0.1020172998330522,0.1365668283169864,0.1307535667867673,0,0,1,0,0,3,-2,35.1063829787234,28.723404255319156,1.2925531914893618,0.4389501094435333,0.2833292106274701,0.27771957078238513
2020-09-12,Karagumruk,Yeni Malatyaspor,3,0,8.0,6.0,4.0,3.0,7.0,20.0,1.9078947368421053,1.1578947368421053,0.7692307692307693,1.5128205128205128,1.1949985851726088,0.6143299716564499,0.924728273124972,0.9475461814171492,1.8078183724406127,0.711329440865363,0.0805282025798864,0.0572820813150432,0.1455803641235382,0.1035555990129723,1,0,0,0,3,0,3,48.68421052631579,12.82051282051282,1.5460526315789471,0.6360240421462117,0.22253533539711795,0.1414205119423784
2020-09-12,Goztep,Denizlispor,5,1,4.0,6.0,0.0,3.0,10.0,8.0,1.5614035087719298,1.350877192982456,1.05,2.5,0.977975853612526,0.8385604113110541,1.0788496519791335,1.5658602150537633,2.4449396340313148,1.1327921345780905,0.0279389985517848,0.0316490778074504,0.0683091648944021,0.0773800847119765,1,0,0,0,3,0,4,38.59649122807017,10.0,1.3859649122807018,0.6616484249935676,0.1785810409235352,0.15953707417751609
2020-09-12,Galatasaray,Gaziantep,3,1,8.0,6.0,2.0,3.0,23.0,9.0,2.276595744680851,0.9042553191489362,1.0425531914893618,1.797872340425532,1.425932280942576,0.8326131743514013,0.7221644879578479,1.1260867078471746,2.563644207226546,0.7528948917007352,0.0362781698945917,0.0273136487938895,0.0930043200990505,0.0700224775086751,1,0,0,0,3,0,2,74.46808510638297,18.08510638297873,2.1117021276595747,0.764094429816426,0.14828096431765334,0.08728758146757251
2020-09-13,Ankaragucu,Erzurum BB,1,2,6.0,3.0,3.0,0.0,8.0,12.0,1.2456140350877194,1.2456140350877194,1.3,1.9,0.7801829843425769,1.0382176520994002,0.9947834453314092,1.19005376344086,1.4823476702508962,1.293218478930832,0.0623141875748587,0.0805858588713693,0.0923712907751691,0.1194562601531418,0,0,1,0,0,3,-1,35.08771929824561,40.0,1.1842105263157894,0.41659241197826874,0.2527932030832497,0.3306095672573909
2020-09-13,Kayserispor,Kasimpasa,1,0,1.0,6.0,3.0,2.0,6.0,12.0,1.4148936170212767,1.25531914893617,1.351063829787234,1.5957446808510638,0.8862102493708534,1.0789987055370198,1.002534230341483,0.9994852436513384,1.414165291549234,1.354487736737961,0.0627464655604049,0.0849893181252193,0.0887338737629141,0.1201889438451214,1,0,0,0,3,0,1,40.42553191489361,29.78723404255319,1.2393617021276595,0.3864340963925283,0.25432433871847093,0.3592374265362698
2020-09-13,Antalyaspor,Genclerbirligi,2,0,2.0,3.0,1.0,1.0,9.0,6.0,1.425531914893617,1.202127659574468,0.85,2.05,0.8928734843285289,0.6788346186803771,0.9600539663439626,1.284005376344086,1.830390642873484,0.8160458713923683,0.0709034267633436,0.0578604486777977,0.1297809688952896,0.1059072238523024,1,0,0,0,3,0,2,44.680851063829785,20.0,1.180851063829787,0.6140625837332286,0.22357308237127832,0.16234200993686454
2020-09-13,Trabzonspor,Besiktas,1,3,4.0,3.0,3.0,2.0,8.0,12.0,1.925531914893617,1.074468085106383,1.5851063829787233,1.25531914893617,1.2060455273392816,1.2659118671261098,0.8581013327499135,0.7862617250057194,1.5139720449578216,1.3601818997844373,0.0564638908725258,0.0768011623562133,0.0854847523305532,0.116274812827574,0,0,1,0,0,3,-2,60.63829787234043,41.48936170212766,1.648936170212766,0.4103298655515995,0.24821251959123242,0.34145142900927283
2020-09-14,Hatayspor,Buyuksehyr,2,0,1.0,6.0,1.0,2.0,12.0,15.0,1.4574468085106382,1.4680851063829787,1.2659574468085106,1.3297872340425532,0.9128631892015556,1.0110302831409872,1.172455286331565,0.8329043697094486,1.2139138154276006,1.4842785007814494,0.0673271089264078,0.0999321802992379,0.0817293076785654,0.1213090542710469,1,0,0,0,3,0,2,37.234042553191486,37.234042553191486,1.2180851063829787,0.31009546815911876,0.2555442130196004,0.43435594015332846
